Product Family,Product Of (Primary Service),Primary Service Category,Product Vendor,Internal Product Name,Pricing Methodology,Proposal Product Name,MeridianLink Consumer Discount Module (Y/N),One Time Fee,NSItemID - OneTime,Annual Fee,NSItemID-Annual,Per Transaction Fee,NSItemID-Transaction,NSItemID-Overage,NSItemID-Commitment,Managed Services ACV (Y/N),Monthly Minimum Commitment ($),Internal Notes for Sales,External Notes for Customer, Product Description ,Additional Accounting Items to Add," Logic
[e.g., 1 AND (2 OR 3)] "," Constraint #1
Dependent or Exclusion "," Constraint #1
Description (Please Explain) "," Constraint #2
Dependent or Exclusion "," Constraint #2
Description (Please Explain) "," Constraint #3
Dependent or Exclusion "," Constraint #3
Description (Please Explain) "," Constraint #4
Dependent or Exclusion "," Constraint #4
Description (Please Explain) ",Other Monthly Fee,Capability Line Level,Add On Type,Tier Name,Tier Level,Tier Minimum,Tier Maximum,Product Category
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Core Integration,COCC,COCC (Consumer) Tier 3 ($1.25B - $2B AUM),Standard,COCC,N,15500.0,CONS-0604,23250.0,CONS-0605,,,,,N,,,,,,,,,,,,,,,,Not Mapped,Core Integration,COCC (Consumer) ,Tier 3,1250000000.0,19999999990.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Core Integration,COCC,COCC (Consumer) Tier 4 ($750M - $1.25B AUM),Standard,COCC,N,15500.0,CONS-0604,17500.0,CONS-0605,,,,,N,,,,,,,,,,,,,,,,Not Mapped,Core Integration,COCC (Consumer) ,Tier 4,750000000.0,1249999999.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Core Integration,COCC,COCC (Consumer) Tier 5 ($500M - $750M AUM),Standard,COCC,N,15500.0,CONS-0604,11750.0,CONS-0605,,,,,N,,,,,,,,,,,,,,,,Not Mapped,Core Integration,COCC (Consumer) ,Tier 5,500000000.0,7499999990.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Core Integration,COCC,COCC (Consumer) Tier 6 (<$500M AUM),Standard,COCC,N,15500.0,CONS-0604,10000.0,CONS-0605,,,,,N,,,,,,,,,,,,,,,,Not Mapped,Core Integration,COCC (Consumer) ,Tier 6,0.0,500000000.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Credit Card Systems,Fiserv,Fiserv Originate (aka Omaha/Optis/CreditCPS) (Credit Card),Standard, Fiserv Originate,N,5750.0,CONS-0286,2400.0,CONS-0275,,,,,N,,"Only available for personal CC, not business CC. Also referred to as the Omaha platform. AKA Optis or Omaha CC",,,,,,,,,,,,,,Consumer & Digital Engagement,Credit Card Systems,Fiserv Originate (aka Omaha/Optis/CreditCPS) (Credit Card),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Credit Card Systems,Fiserv,Fiserv CCM (Credit Card),Standard,Fiserv CCM (Credit Card),N,5750.0,CONS-0552,2400.0,CONS-0530,,,,,,,,,,,,,,,,,,,,,Essential Services,Credit Card Systems,Fiserv CCM (Credit Card),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Custom Score,Experian,Experian PowerCurve,Standard,Experian PowerCurve,N,14000.0,CONS-0593,7000.0,CONS-0594,,,,,,,,,,,,,,,,,,,,,Custom Score/Decisioning,Custom Score,Experian PowerCurve,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Custom Score,Fair Isaac,Liquid Credit Integration,Standard,Liquid Credit Integration,N,8250.0,CONS-0186,2400.0,CONS-0085,,,,,N,,,,,,,,,,,,,,,,Custom Score/Decisioning,Custom Score,Liquid Credit Integration,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Debit Bureau,FirstData,Telecheck- New Customer,Standard,Telecheck,N,0.0,CONS-0374,,,3.3,CONS-0163,CONS-0163,CONS-0439,N,-1234.0,$0 fee for existing Telecheck Customers,,,,,,,,,,,,,,Fraud & Verification,Debit Bureau,Telecheck- New Customer,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Disbursement,FiServ,Fiserv DNA Disbursements,Standard,Fiserv DNA Disbursements,N,4900.0,CONS-0224,,,,,,,N,,,,,,,,,,,,,,,,Essential Systems,Disbursement,Fiserv DNA Disbursements,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Disbursement,JHA,Jack Henry Symitar Disbursement,Standard,Jack Henry Symitar,N,4900.0,CONS-0111,,,,,,,N,,,,,,,,,,,,,,,,Essential Systems,Disbursement,Jack Henry Symitar Disbursement,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Disbursement,Wycom,Wycom,Standard,Wycom,N,0.0,CONS-0377,,,,,,,N,,Both Wycom and native DNA check printing solutions are supported.,,,,,,,,,,,,,,Essential Services,Disbursement,Wycom,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Delivery,Docoon,Faxing,Standard,Faxing,N,0.0,CONS-0369,,,0.6,CONS-0037,CONS-0037,CONS-0450,N,201.82,,,,,,,,,,,,,,,Essential Services,Document Delivery,Faxing,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Delivery,FSSI,Mailing (1-5 Page Envelope),App Commitment / Mon,Mailing (1-5 Page Envelope),N,1625.0,SHARED-0413,,,2.6,SHARED-0418,,SHARED-0453,N,-1234.0,Setup is per envelope/document. Quote all fees for FSSI to cover all envelope sizes.,,,,,,,,,,,,,,Essential Services,Document Delivery,Mailing (1-5 Page Envelope),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Delivery,FSSI,Mailing (21-40 Page Envelope),App Commitment / Mon,Mailing (21-40 Page Envelope),N,0.0,SHARED-0433,,,14.25,SHARED-0431,,SHARED-0459,N,-1234.0,Setup is per envelope/document. Quote all fees for FSSI to cover all envelope sizes.,,,,,,,,,,,,,,Essential Services,Document Delivery,Mailing (21-40 Page Envelope),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Delivery,FSSI,Mailing (41-60 Page Envelope),App Commitment / Mon,Mailing (41-60 Page Envelope),N,0.0,SHARED-0434,,,26.25,SHARED-0429,,SHARED-0460,N,-1234.0,Setup is per envelope/document. Quote all fees for FSSI to cover all envelope sizes.,,,,,,,,,,,,,,Essential Services,Document Delivery,Mailing (41-60 Page Envelope),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Delivery,FSSI,Mailing (61-80 Page Envelope),App Commitment / Mon,Mailing (61-80 Page Envelope),N,0.0,SHARED-0435,,,30.7,SHARED-0432,,SHARED-0457,N,-1234.0,Setup is per envelope/document. Quote all fees for FSSI to cover all envelope sizes.,,,,,,,,,,,,,,Essential Services,Document Delivery,Mailing (61-80 Page Envelope),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Delivery,FSSI,Mailing (6-20 Page Envelope),App Commitment / Mon,Mailing (6-20 Page Envelope),N,0.0,SHARED-0438,,,9.25,SHARED-0439,,SHARED-0458,N,-1234.0,Setup is per envelope/document. Quote all fees for FSSI to cover all envelope sizes.,,,,,,,,,,,,,,Essential Services,Document Delivery,Mailing (6-20 Page Envelope),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Delivery,FSSI,Mailing (81-100 Page Envelope),App Commitment / Mon,Mailing (81-100 Page Envelope),N,0.0,SHARED-0430,,,34.0,SHARED-0436,,SHARED-0461,N,-1234.0,Setup is per envelope/document. Quote all fees for FSSI to cover all envelope sizes.,,,,,,,,,,,,,,Essential Services,Document Delivery,Mailing (81-100 Page Envelope),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,Client Managed Documents,Standard,Client Managed Documents,N,0.0,CONS-0378,,,,,,,N,,No fee. Can accommodate simple mapping.,,,,,,,,,,,,,,Not Mapped,Document Prep,Client Managed Documents,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,Compliance Solutions,CSi,Standard,CSi,N,8250.0,CONS-0219,,,,,,,N,,"Dynamic Docs - Only supports Personal Loan, Vehicle Loan, and Home Equity Loan",,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,CSi,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,Finastra,Finastra DepositPro ,Standard,Finastra DepositPro,N,4100.0,CONS-0287,1575.0,CONS-0114,,,,,N,,,,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,Finastra DepositPro ,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,Finastra,Finastra DepositPro Plus,Standard,Finastra DepositPro Plus,N,4100.0,CONS-0288,1575.0,CONS-0303,,,,,N,,,,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,Finastra DepositPro Plus,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,Document Maintenance (additional environment),Standard,Document Maintenance (additional environment),N,0.0,CONS-0361,4700.0,CONS-0263,,,,,N,,"Per environment. Waived for DEMO & LIVE and temporary waiver for BETA core integration // Most clients originate all their document changes on a ""DEMO"" environment (e.g. DEMO, EPLQA, JHADEMO, etc.)  then have the changes migrate to LIVE environment.  Thus, a standard doc migration workflow would just involve 2 environments: DEMO and LIVE. 

For clients who want us to support additional environments,  please let them know that supporting an additional server complicates the maintenance and migration process and thus will incur an annual maintenance charge. 
Exceptions:  If a client is undergoing core integration on BETA and need their docs on BETA temporarily, we will waive the fee since it is assumed once the process is complete, the docs will be removed from their BETA environment and they will revert to the standard DEMO -> LIVE workflow.",,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,Document Maintenance (additional environment),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,Document Mapping (deposits),Per Pull,Document Mapping (deposits),N,0.0,CONS-0362,5100.0,CONS-0151,,,,,N,,"Up to 15 standard MeridianLink Opening docs and 5 custom forms // Approved vendors for standard forms are CUNA, Conmar, WKFS, Securian, CSi, and OakTree",,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,Document Mapping (deposits),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,MeridianLink Custom Document Mapping Overage,Per Pull,MeridianLink Custom Document Mapping Overage,N,0.0,CONS-0225,,,320.0,CONS-0033,,,N,,,,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,MeridianLink Custom Document Mapping Overage,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,MeridianLink Consumer Document Mapping Overage,Per Pull,MeridianLink Consumer Document Mapping Overage,N,0.0,CONS-0205,,,320.0,CONS-0034,,,N,,,,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,MeridianLink Consumer Document Mapping Overage,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,MeridianLink Opening Document Mapping Overage,Per Pull,MeridianLink Opening Document Mapping Overage,N,0.0,CONS-0154,,,320.0,CONS-0036,,,N,,,,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,MeridianLink Opening Document Mapping Overage,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,Additional Custom Document,Per Pull,Additional Custom Document,N,0.0,CONS-0577,,,490.0,CONS-0582,,,N,,,,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,Additional Custom Document,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,Additional Vendor Loan Document,Per Pull,Additional Vendor Loan Document,N,0.0,CONS-0579,,,335.0,CONS-0580,,,N,,,,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,Additional Vendor Loan Document,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,Additional Vendor Deposit Document,Per Pull,Additional Vendor Deposit Document,N,0.0,CONS-0583,,,335.0,CONS-0581,,,N,,,,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,Additional Vendor Deposit Document,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,Expedited Forms Requests within 1 week (Consumer),Per Pull,Expedited Forms Requests within 1 week,N,0.0,CONS-0642,,,265.0,CONS-0640,,,N,,,,,,,,,,,,,,,,Not Mapped,Document Prep,Expedited Forms Requests within 1 week (Consumer),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,MeridianLink,Expedited Forms Requests within 2-3 days (Consumer),Per Pull,Expedited Forms Requests within 2-3 days,N,0.0,CONS-0641,,,530.0,CONS-0639,,,N,,,,,,,,,,,,,,,,Not Mapped,Document Prep,Expedited Forms Requests within 2-3 days (Consumer),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Prep,Kinective,Kinective XML (fka IMM XML TotaleAtlas Doc Engine) ,Standard,Kinective XML,N,5750.0,CONS-0222,2400.0,CONS-0011,,,,,N,,does have echoSign,,,,,,,,,,,,,,Docs/Disclosures & eSign,Document Prep,IMM XML (TotaleAtlas),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Upload,MeridianLink,Increase max upload file size Tier 1: 45 MB,Standard,Increase max upload file size to 10 MB,N,0.0,CONS-0370,-1234.0,CONS-0007,,,,,N,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Consumer Module,Document Upload,Increase max upload file size ,Tier 1,45.0,0.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Upload,MeridianLink,Increase max upload file size Tier 2: 40 MB,Standard,Increase max upload file size to 15 MB,N,0.0,CONS-0370,-1234.0,CONS-0007,,,,,N,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Consumer Module,Document Upload,Increase max upload file size ,Tier 2,40.0,0.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Upload,MeridianLink,Increase max upload file size Tier 3: 35 MB,Standard,Increase max upload file size to 20 MB,N,0.0,CONS-0370,-1234.0,CONS-0007,,,,,N,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Consumer Module,Document Upload,Increase max upload file size ,Tier 3,35.0,0.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Upload,MeridianLink,Increase max upload file size Tier 4: 30 MB,Standard,Increase max upload file size to 25 MB,N,0.0,CONS-0370,-1234.0,CONS-0007,,,,,N,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Consumer Module,Document Upload,Increase max upload file size ,Tier 4,30.0,0.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Upload,MeridianLink,Increase max upload file size Tier 5: 25 MB,Standard,Increase max upload file size to 30 MB,N,0.0,CONS-0370,-1234.0,CONS-0007,,,,,N,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Consumer Module,Document Upload,Increase max upload file size ,Tier 5,25.0,0.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Upload,MeridianLink,Increase max upload file size Tier 6: 20 MB,Standard,Increase max upload file size to 35 MB,N,0.0,CONS-0370,-1234.0,CONS-0007,,,,,N,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Consumer Module,Document Upload,Increase max upload file size ,Tier 6,20.0,0.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Upload,MeridianLink,Increase max upload file size Tier 7: 15 MB,Standard,Increase max upload file size to 40 MB,N,0.0,CONS-0370,-1234.0,CONS-0007,,,,,N,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Consumer Module,Document Upload,Increase max upload file size ,Tier 7,15.0,0.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Document Upload,MeridianLink,Increase max upload file size Tier 8: 10 MB,Standard,Increase max upload file size to 45 MB,N,0.0,CONS-0370,-1234.0,CONS-0007,,,,,N,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Consumer Module,Document Upload,Increase max upload file size ,Tier 8,10.0,0.0,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - eSign,DocuSign,DocuSign Enterprise SMS Delivery,Standard,DocuSign Enterprise SMS Delivery,N,0.0,CONS-0603,,,0.12,CONS-0601,,CONS-0602,N,-1234.0,"Quote pricing.  Price is not actually -$1234.00. Not available to DocuSign ISV customers, only DocuSign Enteprise. Requires new DocuSign API (REST).",,,,1 AND 2,Dependent,Must have DocuSign Enterprise (Consumer),Exclusion,Not available to Docusign ISV Customers. ,,,,,,Docs/Disclosures & eSign,eSign,DocuSign Enterprise SMS Delivery,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - eSign,Silanis,OneSpan,Standard,OneSpan,N,5750.0,SHARED-0530,,,,,,,N,,fka Vasco; fka eSignLive,,,,,,,,,,,,,,Not Mapped,eSign,OneSpan,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Fraud Protection,Verafin,Verafin,Standard,Verafin,N,3000.0,CONS-0591,3500.0,CONS-0592,,,,,N,,Must have Modern Experience for ML Opening,,,,,,,,,,,,,,Fraud & Verification,Fraud Protection,Verafin,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Home Banking,MeridianLink,Changing Home Banking Vendor,Standard,Changing Home Banking Vendor,N,1625.0,CONS-0237,,,,,,,N,,One-time cost to change the vendor,,,,,,,,,,,,,,Consumer & Digital Engagement,Home Banking,Changing Home Banking Vendor,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Home Banking,Access Softek,Mobile App Push,Standard,Mobile App Push,N,6500.0,CONS-0209,3100.0,CONS-0091,,,,,N,,Pushes apps from Access Softek Home Banking directly into MeridianLink Consumer; doesn't go through AP,,,,,,,,,,,,,,Consumer & Digital Engagement,Home Banking,Mobile App Push,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Hosting,,Dedicated Hosting,Standard,Dedicated Hosting,N,-1234.0,CONS-0226,-1234.0,CONS-0077,-1234.0,CONS-0301,,,N,,Quote pricing.  Price is not actually -$1234.00,,,,,,,,,,,,,,Consumer Module,Hosting,Dedicated Hosting,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - ID Authentication,Experian,Experian CrossCore with Precise for ID Screening with KIQ/MFA (Option 3) (Consumer),Per Pull,Experian CrossCore with Precise for ID Screening with KIQ/MFA (Option 3),N,975.0,CONS-0293,,,4.25,CONS-0274,CONS-0274,CONS-0408,N,-1234.0,Additional $805 setup fee per subcode.,Additional $805 setup fee per subcode.,,,,,,,,,,,,,Fraud & Verification,ID Authentication,Experian CrossCore with Precise for ID Screening with KIQ/MFA (Option 3) (Consumer),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - ID Authentication,FIS,FIS QualiFile IDV & IDA,Per Pull,FIS QualiFile IDV & IDA,N,4100.0,CONS-0134,2400.0,CONS-0088,,,,,N,,Check with the vendor on the per-transaction cost.,,,,,,,,,,,,,,Fraud & Verification,ID Authentication,FIS QualiFile IDV & IDA,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - ID Card Scanners,Acuant,Acuant ID Scanning,Standard,Acuant ID Scanning,N,0.0,CONS-0416,,,0.7,CONS-0414,CONS-0414,CONS-0415,N,-1234.0,"Only available for Google Chrome (not Internet Explorer), customer must be using Acuant (ScanShell) hardware scanners.",,,,1 OR 2 OR 3 OR 4,Dependent,Consumer Lending Module,Dependent,Opening Module,Dependent,Business Lending Module,Dependent,Home Equity Module,,Fraud & Verification,ID Card Scanners,Acuant ID Scanning,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - ID Verification,LexisNexis,Bridger OFAC Watchlist,Per Pull,Bridger OFAC Watchlist,N,3300.0,CONS-0241,1575.0,CONS-0097,,,,,N,,,,,,,,,,,,,,,,Fraud & Verification,ID Verification,Bridger OFAC Watchlist,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - ID Verification,Experian,Experian CrossCore with Precise ID for Account Opening Score Only (Option 6) (Consumer),Per Pull,Experian CrossCore with Precise ID for Account Opening Score Only (Option 6),N,975.0,SHARED-0445,,,2.8,SHARED-0447,SHARED-0447,SHARED-0448,N,-1234.0,,,,,,,,,,,,,,,Fraud & Verification,ID Verification,Experian CrossCore with Precise ID for Account Opening Score Only (Option 6) (Consumer),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - ID Verification,FIS,FIS QualiFile IDV,Per Pull,FIS QualiFile IDV,N,4100.0,CONS-0230,2400.0,CONS-0087,,,,,N,,Check with the vendor on the per-transaction cost.,,,,,,,,,,,,,,Fraud & Verification,ID Verification,FIS QualiFile IDV,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - ID Verification,Experian,ISTWatch OFAC Watchlist,Per Pull,ISTWatch OFAC Watchlist,N,0.0,CONS-0372,,,0.4,CONS-0031,CONS-0031,CONS-0435,N,-1234.0,,,,,,,,,,,,,,,Fraud & Verification,ID Verification,ISTWatch OFAC Watchlist,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,MeridianLink,DealerApp,Standard,DealerApp,N,4100.0,CONS-0307,,,,,,,N,,,,,,,,,,,,,,,,Auto,Indirect Lead,DealerApp,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,Innovative Funding Services,Innovative Funding Services (IFS),Standard,Innovative Funding Services (IFS),N,3300.0,CONS-0210,2400.0,CONS-0131,,,,,N,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Indirect Lead,Innovative Funding Services (IFS),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,National Auto Loan Network,NALN - National Auto Loan Network- Existing Customer,Standard,NALN - National Auto Loan Network,N,0.0,CONS-0003,2400.0,CONS-0132,,,,,N,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Indirect Lead,NALN - National Auto Loan Network- Existing Customer,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,National Auto Loan Network,NALN - National Auto Loan Network- New Customer,Standard,NALN - National Auto Loan Network,N,3300.0,CONS-0003,2400.0,CONS-0132,,,,,N,,One time fee applies only if it's a new customer,,,,,,,,,,,,,,Consumer & Digital Engagement,Indirect Lead,NALN - National Auto Loan Network- New Customer,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,RouteOne,RouteOne eContracting Authoritative Copy Conversion (ACC),Standard,RouteOne eContracting Authoritative Copy Conversion (ACC),N,0.0,CONS-0389,,,28.5,CONS-0173,,,N,,Authoritative Copy Conversion (ACC) $21 plus postage,,,,,,,,,,,,,,Auto,Indirect Lead,RouteOne eContracting Authoritative Copy Conversion (ACC),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,RouteOne,RouteOne eContracting Ancillary Document Fee,Per Page,RouteOne eContracting Ancillary Document Fee,N,0.0,CONS-0388,,,0.27,CONS-0078,,,N,,,,,,,,,,,,,,,,Auto,Indirect Lead,RouteOne eContracting Ancillary Document Fee,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,RouteOne,RouteOne Electronic Contracting Per Vaulted Transaction,Per Vaulted Transaction,RouteOne Electronic Contracting Per Vaulted Transaction,N,0.0,CONS-0387,,,0.65,CONS-0136,,,N,,,,,,,,,,,,,,,,Auto,Indirect Lead,RouteOne Electronic Contracting Per Vaulted Transaction,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,RouteOne,RouteOne TOLEC < 30 Day Turn,Standard,RouteOne TOLEC,N,12750.0,SHARED-0498,,,3.7,SHARED-0499,,,,,,,,,,,,,,,,,,,Auto,Indirect Lead,RouteOne TOLEC < 30 Day Turn,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,RouteOne,"RouteOne TOLEC > 30 Day Turn, Multi Batch",Standard,RouteOne TOLEC,N,6500.0,SHARED-0498,,,3.7,SHARED-0499,,,,,,,,,,,,,,,,,,,Auto,Indirect Lead,"RouteOne TOLEC > 30 Day Turn, Multi Batch",,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Indirect Lead,OttoMoto,OttoMoto (Consumer),Standard,OttoMoto,N,3300.0,SHARED-0561,2400.0,SHARED-0559,,,,,,,,,,,,,,,,,,,,,Not Mapped,Indirect Lead,OttoMoto (Consumer),,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,,Auto Approve,Standard,Auto Approve,N,3300.0,CONS-0234,2400.0,CONS-0095,,,,,N,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Lead Intake,Auto Approve,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,Autopay,Autopay,Standard,Autopay,N,3300.0,CONS-0181,2400.0,CONS-0047,,,,,N,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Lead Intake,Autopay,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,Caribou,Caribou,Standard,Caribou,N,3300.0,CONS-0002,2400.0,CONS-0073,,,,,N,,refinance leads,,,,,,,,,,,,,,Consumer & Digital Engagement,Lead Intake,Caribou,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,CreditSnap,CreditSnap,Standard,CreditSnap,N,12750.0,CONS-0413,6250.0,CONS-0412,,,,,N,,"Setup via CLF Automated Action. If client is not set up with CLF Automated Action, client needs to sign an addendum for them.",,,,1,Dependent,CLF export automated action (CONS-0359),,,,,,,,Consumer & Digital Engagement,Lead Intake,CreditSnap,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,First Close,FirstClose Equity IQ,Standard,FirstClose Equity IQ,N,3300.0,CONS-0291,2400.0,CONS-0276,,,,,N,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Lead Intake,FirstClose Equity IQ,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,fiVISION,FIVISION,Standard,fiVISION,N,12750.0,CONS-0290,6250.0,CONS-0277,,,,,N,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Lead Intake,FIVISION,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,FourStars Finance,FourStars (Consumer),Standard,FourStars,N,3300.0,SHARED-0634,2400.0,SHARED-0635,,,,,,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Lead Intake,FourStars,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,iLendingDirect,ILendingDirect,Standard,iLendingDirect,N,3300.0,CONS-0265,2400.0,CONS-0264,,,,,N,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Lead Intake,ILendingDirect,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,LendingTree,LendingTree,Standard,LendingTree,N,4100.0,CONS-0196,4000.0,CONS-0128,,,,,N,,waived for clients we setup with LendingTree,,,,,,,,,,,,,,Consumer & Digital Engagement,Lead Intake,LendingTree,,,,Add Ons
Origination - Consumer,MeridianLink Consumer/Opening,Add On - Lead Intake,MoveCU,MoveCU,Standard,MoveCU,N,3300.0,CONS-0292,2400.0,CONS-0278,,,,,N,,,,,,,,,,,,,,,,Consumer & Digital Engagement,Lead Intake,MoveCU,,,,Add Ons
